Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 1,1156551,Urban,400.185185185185,131.851851851852,174105.851851852
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 2,1156552,Urban,400.185185185185,131.851851851852,174506.037037037
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 3,1156553,Urban,400.185185185185,131.851851851852,174906.222222222
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 8,1156558,Urban,400.185185185185,131.851851851852,176907.148148148
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 10,11565510,Urban,400.185185185185,131.851851851852,177707.518518518
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 11,11565511,Urban,400.185185185185,131.851851851852,178107.703703704
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 15,11565515,Urban,400.185185185185,131.851851851852,179708.444444444
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 17,11565517,Urban,400.185185185185,131.851851851852,180508.814814815
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 18,11565518,Urban,400.185185185185,131.851851851852,180909
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 21,11565521,Urban,400.185185185185,131.851851851852,182109.555555556
